date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:02	53/53	---M--	200	added ('OK')	text/plain	etag:%2235-595ad1aad5040%22	http://drglacus.com.br/robots.txt		(from )
19:04:02	84322/84322	---M--	200	added ('OK')	text/html	etag:%2214962-5ef1506ebda70%22	http://drglacus.com.br/	C:/My%20Web%20Sites/drglacis/drglacus.com.br/index.html	(from )
19:04:02	121200/121200	---M--	200	added ('OK')	text/css	etag:%221d970-5e995d301b350%22	http://drglacus.com.br/js/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/vendor/bootstrap/css/bootstrap.min.css	(from http://drglacus.com.br/)
19:04:04	4000/4000	---M--	200	added ('OK')	image/png	etag:%22fa0-5eb2e6f08b206%22	http://drglacus.com.br/images/icons/favicon.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/icons/favicon.png	(from http://drglacus.com.br/)
19:04:04	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-5e995c9565b88%22	http://drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/drglacis/drglacus.com.br/fonts/font-awesome/css/font-awesome.min.css	(from http://drglacus.com.br/)
19:04:04	112284/112284	---M--	200	added ('OK')	text/css	etag:%221b69c-5e995c88aa090%22	http://drglacus.com.br/css/plugins.css	C:/My%20Web%20Sites/drglacis/drglacus.com.br/css/plugins.css	(from http://drglacus.com.br/)
19:04:08	448589/448589	---M--	200	added ('OK')	text/css	etag:%226d84d-5ec6f737c29e2%22	http://drglacus.com.br/css/style.css	C:/My%20Web%20Sites/drglacis/drglacus.com.br/css/style.css	(from http://drglacus.com.br/)
19:04:09	30001/30001	---M--	200	added ('OK')	text/css	etag:%227531-5e995c88dd161%22	http://drglacus.com.br/css/responsive.css	C:/My%20Web%20Sites/drglacis/drglacus.com.br/css/responsive.css	(from http://drglacus.com.br/)
19:04:10	84322/84322	---M--	200	added ('OK')	text/html	etag:%2214962-5ef1506ebda70%22	http://drglacus.com.br/index.html	C:/My%20Web%20Sites/drglacis/drglacus.com.br/index-2.html	(from http://drglacus.com.br/)
19:04:10	1065/1065	---M--	200	added ('OK')	image/jpeg	etag:%22429-5eb2e480c3dee%22	http://drglacus.com.br/images/index/dentist/001-thumbs.jpg	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/index/dentist/001-thumbs.jpg	(from http://drglacus.com.br/)
19:04:11	9447/9447	---M--	200	added ('OK')	application/javascript	etag:%2224e7-5e995d158be92%22	http://drglacus.com.br/js/vendor/modernizr-custom.js	C:/My%20Web%20Sites/drglacis/drglacus.com.br/js/vendor/modernizr-custom.js	(from http://drglacus.com.br/)
19:04:18	51804/51804	---M--	200	added ('OK')	image/png	etag:%22ca5c-5ec6f83263c02%22	http://drglacus.com.br/images/logo.png	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/logo.png	(from http://drglacus.com.br/)
19:04:37	24756/24756	---M--	200	added ('OK')	image/jpeg	etag:%2260b4-5ef0c24f6a27a%22	http://drglacus.com.br/images/index/dentist/005.jpg	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/index/dentist/005.jpg	(from http://drglacus.com.br/)
19:04:38	24985/24985	---M--	200	added ('OK')	image/jpeg	etag:%226199-5ef0c29714d5a%22	http://drglacus.com.br/images/index/dentist/006.jpg	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/index/dentist/006.jpg	(from http://drglacus.com.br/)
19:04:38	172487/172487	---M--	200	added ('OK')	image/jpeg	etag:%222a1c7-5ea4af2a1359a%22	http://drglacus.com.br/images/index/dentist/001.jpg	C:/My%20Web%20Sites/drglacis/drglacus.com.br/images/index/dentist/001.jpg	(from http://drglacus.com.br/)
